"source","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1460","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1015","Matematikk 2P","2",NA,NA,NA,"33,33","33,33","33,33","1,5","50","0","K","38",NA,NA,"BLU-D","Bachelorstudium i barnehagelærerutdanning, deltid"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1461","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","50,8","","",NA,NA,"K","25",NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1462","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","37,7","","1,5","50","0","M","28",NA,NA,"AVF","Bachelorstudium i arbeids- og velferdsfag"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1463","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","3,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","45,2","","1","50","0","K","24",NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1464","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"26,36","26,36","26,36","1","50","0","K","46",NA,NA,"BACHSOSARB","Bachelor i sosialt arbeid (HINN)"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1465","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","33,2","","1","50","0","K","27",NA,NA,"",""
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1466","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"33,33","33,33","33,33","1,5","50","0","K","22",NA,NA,"BACHSOS","Bachelor i sosialt arbeid (VID)"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1467","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"41,1","41,1","41,1","",NA,NA,"M","34",NA,NA,"VE3","Bachelorstudium i vernepleie, heltid"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1468","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","0","100","0","M","57",NA,NA,"HBU05","Bachelor i barnevern (OSLOMET)"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1469","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","45,2","","1,5","50","0","K","30",NA,NA,"BVP","Bachelorstudium i barnevern"
