"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1179,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4","MAT1005","Matematikk 2P-Y","",NA,"","","42,9","42,9","52,9","3",0,0,"K",23,NA,NA,"B-BARNEV","Bachelor i barnevern (UIS)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1180,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P","",NA,"","","","39","","4",0,100,"K",22,NA,NA,"BVPBV","Bachelor i sosialt arbeid - barnevernspedagog (HVO)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1181,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5,5","MAT1005","Matematikk 2P-Y","",NA,"","","","53,3","","3",0,0,"K",25,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1182,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2,5","MAT1015","Matematikk 2P","",NA,"","","","38,8","","2,71",0,29,"K",25,NA,NA,"BACH_PROF","Bachelor i barnevern (HVL)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1183,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y","",NA,"","","44","44","44","3",0,0,"K",26,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"MBV","Master i barnevern",2023,"HØST","Trondheim","STREA3","Realfag vg3","ST","Studiespesialisering","2,5","MAT1015","Matematikk 2P","3,5",3,"REA3011","Kjemi 1","","32,6","","4",0,100,"K",26,NA,NA,"BACHBV","BACHELOR I BARNEVERN (UIT)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1185,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","3",NA,"","","33,8","33,3","33,8","2",0,0,"K",27,NA,NA,"BA1201-1","Bachelor i pedagogikk med vekt på spesialpedagogikk og interkulturell pedagogikk (NLA)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1186,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","MDMUS3","Musikk vg3","MD","Musikk, dans og drama","4,5","MAT1015","Matematikk 2P","",NA,"","","45,9","45,9","45,9","4,8",0,100,"K",24,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1187,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P","",NA,"","","50","50","50","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1188,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5,7","MAT1005","Matematikk 2P-Y","5",NA,"","","52,2","51,7","52,2","3",0,0,"K",23,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"MBV","Master i barnevern",2023,"HØST","Trondheim","STREA3","Realfag vg3","ST","Studiespesialisering","2,3","REA3024","Matematikk R2","",4,"REA3011","Kjemi 1","46,8","42,8","46,8","3",0,0,"M",26,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1190,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","","","","","","","","",NA,"","","","","","2",0,0,"M",35,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1191,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4","MAT1005","Matematikk 2P-Y","",NA,"","","","45,6","","3,14",0,43,"K",23,NA,NA,"HBU05","Bachelor i barnevern (OSLOMET)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STREA3","Realfag vg3","ST","Studiespesialisering","4","REA3028","Matematikk S2","3,3",6,"REA3011","Kjemi 1","48,7","46,2","48,7","3",0,0,"K",22,NA,NA,"BACSOSHIØ","Bachelor i sosialt arbeid (HIØ)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1193,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","2","MAT1005","Matematikk 2P-Y","",NA,"","","","29,2","","2,71",0,14,"M",28,NA,NA,"BACHBV","BACHELOR I BARNEVERN (UIT)"
